Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5
2,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4
3,9,,9,7,8,,9,7,7,,9,7,7,,9,9,9,,9,7,7
4,20,,20,18,19,,20,20,20,,20,20,20,,20,19,20,,20,20,20
5,7,,7,7,7,,7,7,7,,7,7,7,,7,7,7,,7,7,6
6,17,,16,11,17,,17,6,11,,13,4,15,,10,6,17,,8,6,17
7,8,,8,8,8,,8,8,8,,8,8,8,,8,8,8,,8,8,8
8,9,,9,6,9,,9,9,9,,9,7,9,,9,8,9,,9,8,8
9,17,,17,16,17,,17,17,17,,17,17,17,,17,17,17,,17,17,17
10,16,,16,7,16,,10,6,1,,7,5,14,,11,8,11,,5,5,5
