Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,5,,5,5,5,,5,5,4,,5,5,4,,5,5,4,,5,5,4
2,4,,4,4,4,,4,3,4,,4,3,4,,4,3,4,,4,4,4
3,9,,9,6,8,,9,6,8,,9,6,8,,9,7,8,,9,6,8
4,20,,20,19,19,,20,19,19,,19,17,19,,19,16,19,,19,17,20
5,7,,7,6,7,,7,6,7,,6,6,7,,7,6,7,,7,6,7
6,17,,15,13,14,,14,13,14,,14,13,14,,14,13,14,,14,13,14
7,8,,8,7,7,,8,7,7,,8,7,7,,8,7,7,,8,7,7
8,9,,9,7,9,,9,7,9,,9,7,9,,9,7,9,,9,8,9
9,17,,16,17,16,,17,16,15,,16,16,15,,17,16,16,,17,16,16
10,16,,12,9,9,,12,9,10,,14,12,10,,14,11,9,,14,12,10
