Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,8,,8,7,6,,8,7,6,,8,7,6,,8,7,6,,8,7,6
2,5,,5,4,5,,5,4,5,,5,4,5,,5,4,5,,5,4,5
3,14,,13,14,12,,13,14,12,,13,14,11,,12,14,10,,12,14,11
4,11,,8,9,10,,8,4,11,,8,4,11,,10,5,11,,10,5,11
5,11,,8,1,10,,6,1,10,,6,1,10,,8,5,11,,8,5,11
6,5,,5,4,5,,5,4,5,,5,4,5,,5,5,5,,5,5,5
7,6,,5,4,6,,5,4,6,,5,4,6,,5,4,6,,5,4,6
8,6,,5,2,6,,5,2,6,,5,2,6,,5,2,6,,5,2,6
9,15,,13,14,15,,13,14,15,,13,14,15,,13,15,14,,13,15,14
10,7,,5,4,6,,5,4,6,,5,4,6,,5,5,6,,5,5,6
