Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,4,,3,3,4,,3,3,4,,3,4,4,,3,3,4,,3,3,4
2,6,,6,5,5,,6,5,6,,6,5,6,,6,5,6,,6,5,6
3,6,,5,5,5,,5,4,4,,5,5,5,,5,5,5,,5,5,5
4,18,,14,18,12,,14,18,14,,15,18,13,,14,18,12,,14,18,13
5,9,,8,9,9,,9,9,9,,8,9,9,,8,9,9,,9,9,9
6,16,,10,9,13,,10,9,12,,9,8,13,,10,9,12,,9,7,13
7,13,,11,13,11,,11,13,10,,10,13,10,,10,13,9,,9,13,10
8,10,,9,7,10,,9,7,10,,9,8,10,,9,7,10,,9,8,10
9,7,,6,7,7,,6,7,7,,6,7,7,,6,7,7,,6,7,6
10,8,,7,8,8,,8,7,8,,7,8,8,,8,7,8,,8,7,8
