Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,4,,4,4,4,,3,3,4,,3,2,4,,4,4,4,,3,4,3
2,6,,6,6,5,,6,6,5,,6,6,5,,6,6,6,,5,6,5
3,6,,6,6,6,,6,6,6,,6,6,5,,6,6,6,,6,6,6
4,18,,11,11,6,,15,15,6,,15,15,6,,16,13,12,,16,15,12
5,9,,9,9,8,,9,9,8,,9,9,8,,9,9,8,,9,9,8
6,16,,11,5,12,,9,2,9,,11,2,11,,13,9,14,,13,9,14
7,13,,13,12,13,,13,12,13,,13,10,10,,13,12,9,,13,12,10
8,10,,9,8,9,,10,8,9,,10,8,10,,10,7,8,,10,7,7
9,7,,6,7,7,,6,7,7,,6,7,7,,7,7,7,,7,7,7
10,8,,7,7,7,,8,8,8,,8,8,8,,8,8,8,,8,8,8
