Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,4,,4,3,4,,4,4,4,,4,4,4,,4,4,4,,4,3,4
2,6,,5,6,5,,5,6,4,,5,6,5,,5,6,5,,5,6,5
3,6,,6,6,6,,6,6,6,,6,6,6,,6,6,6,,6,6,6
4,18,,17,18,7,,17,18,6,,17,18,8,,18,15,6,,18,17,6
5,9,,9,9,8,,9,9,8,,9,9,8,,9,9,9,,9,9,9
6,16,,11,8,11,,11,4,11,,11,4,11,,11,3,12,,11,5,11
7,13,,11,12,6,,13,13,5,,12,13,5,,9,8,11,,11,9,13
8,10,,10,3,10,,10,7,10,,10,7,10,,10,7,10,,10,7,10
9,7,,7,7,7,,7,7,7,,7,7,7,,7,7,7,,7,7,7
10,8,,8,7,8,,8,7,8,,8,7,8,,8,8,8,,8,8,8
