Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5
2,4,,3,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4
3,9,,9,6,8,,9,6,8,,9,7,8,,9,6,8,,9,6,8
4,20,,16,18,19,,17,18,19,,16,19,19,,18,16,18,,19,16,18
5,7,,7,6,7,,7,7,7,,7,6,7,,7,7,7,,7,6,7
6,17,,14,15,15,,16,13,14,,14,14,15,,15,14,14,,15,13,14
7,8,,8,8,8,,8,7,8,,8,8,8,,8,7,7,,8,8,8
8,9,,9,8,9,,9,8,9,,9,7,9,,9,8,9,,9,8,9
9,17,,16,17,16,,17,16,16,,16,17,16,,17,16,16,,16,17,16
10,16,,13,11,9,,13,11,9,,11,11,8,,11,9,7,,12,9,8
