Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,8,,8,7,6,,8,7,7,,8,7,6,,8,7,6,,8,7,6
2,5,,5,4,4,,5,4,4,,5,4,4,,5,4,4,,5,4,4
3,14,,11,12,12,,10,11,12,,10,10,11,,9,11,12,,10,12,11
4,11,,10,7,11,,10,6,11,,10,7,8,,9,4,11,,11,6,11
5,11,,5,8,7,,4,7,5,,4,7,5,,4,11,4,,6,11,5
6,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5
7,6,,5,6,5,,6,5,5,,4,5,6,,5,5,5,,5,6,5
8,6,,6,3,5,,5,3,4,,6,3,5,,5,3,5,,5,3,6
9,15,,15,15,15,,14,13,14,,15,13,13,,14,14,12,,14,13,11
10,7,,7,7,7,,5,7,7,,4,5,7,,4,5,5,,3,5,7
