Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,5,,5,5,5,,5,4,4,,5,5,5,,5,5,5,,5,5,4
2,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4
3,9,,9,8,8,,9,7,8,,9,9,9,,9,9,8,,9,7,7
4,20,,20,20,20,,19,18,19,,20,20,20,,20,20,20,,20,18,19
5,7,,7,7,7,,7,7,7,,7,6,7,,7,7,7,,7,7,7
6,17,,15,7,17,,16,12,17,,16,13,17,,17,13,16,,8,7,16
7,8,,8,8,8,,8,8,8,,8,8,8,,8,8,8,,8,8,8
8,9,,9,8,9,,9,7,9,,9,8,9,,9,9,9,,9,8,9
9,17,,17,17,17,,17,15,17,,17,17,17,,17,17,17,,17,17,17
10,16,,14,10,12,,12,11,14,,12,10,17,,11,8,12,,8,8,12
