Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,4,,3,4,4,,3,4,4,,4,3,4,,4,3,4,,4,3,4
2,6,,6,5,5,,6,6,5,,6,6,5,,5,6,6,,5,6,5
3,6,,6,5,5,,6,5,6,,6,5,5,,6,5,6,,6,5,5
4,18,,15,18,13,,15,18,13,,15,17,13,,15,18,13,,14,18,12
5,9,,9,9,9,,9,9,9,,9,9,9,,9,9,9,,9,9,8
6,16,,9,9,12,,11,9,13,,8,7,13,,10,9,13,,11,9,14
7,13,,11,11,10,,11,12,10,,12,12,10,,11,12,10,,11,10,12
8,10,,9,7,10,,9,7,10,,9,7,10,,9,7,10,,9,7,10
9,7,,7,6,7,,6,6,7,,7,6,7,,7,6,7,,6,6,7
10,8,,7,8,8,,7,8,8,,7,8,8,,8,7,8,,7,8,8
