Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,4,,4,3,4,,4,3,3,,4,3,4,,4,3,4,,4,3,4
2,6,,5,6,5,,5,6,5,,5,6,5,,4,6,5,,5,6,4
3,6,,6,6,6,,6,5,5,,6,6,6,,6,6,6,,5,6,4
4,18,,17,17,14,,13,16,14,,14,17,15,,15,18,13,,14,14,14
5,9,,9,7,9,,7,7,9,,7,8,9,,8,9,9,,8,9,8
6,16,,8,8,11,,9,9,11,,13,11,13,,11,9,12,,12,8,8
7,13,,10,9,11,,10,10,9,,11,12,11,,11,11,11,,13,12,10
8,10,,8,9,7,,8,7,9,,7,8,9,,10,8,9,,7,6,9
9,7,,5,7,7,,6,7,6,,6,7,7,,6,7,6,,7,7,7
10,8,,8,7,8,,8,7,8,,7,6,8,,8,7,7,,7,6,8
