Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,5,,4,5,4,,5,5,5,,5,5,5,,4,5,4,,5,5,5
2,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4
3,9,,9,7,8,,9,7,8,,8,7,7,,7,7,7,,8,6,8
4,20,,17,15,18,,17,18,19,,18,17,19,,17,15,18,,20,19,19
5,7,,6,6,7,,6,7,7,,5,6,6,,4,4,4,,6,7,6
6,17,,12,13,11,,17,13,14,,13,15,12,,17,11,12,,17,13,10
7,8,,8,8,8,,8,8,6,,7,8,7,,8,8,7,,8,8,7
8,9,,9,7,7,,9,7,7,,9,7,6,,8,9,9,,8,8,8
9,17,,17,16,16,,16,16,17,,17,16,17,,17,17,17,,17,17,16
10,16,,10,10,7,,8,10,7,,12,10,9,,13,12,11,,9,7,9
