Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,4,,3,2,4,,4,3,4,,4,3,3,,3,2,4,,3,2,3
2,6,,6,6,5,,6,6,6,,6,6,5,,6,6,5,,6,6,5
3,6,,6,6,5,,6,6,6,,5,5,5,,6,6,6,,6,6,6
4,18,,16,17,14,,17,17,16,,16,18,12,,18,18,18,,15,18,15
5,9,,9,9,9,,9,9,9,,9,9,9,,9,7,9,,6,9,8
6,16,,8,8,8,,15,13,13,,10,10,10,,6,7,6,,4,5,5
7,13,,12,12,11,,12,12,10,,13,13,10,,13,11,10,,12,11,10
8,10,,9,6,8,,8,7,7,,9,6,9,,6,3,9,,8,4,10
9,7,,7,7,7,,6,7,7,,6,7,7,,6,7,6,,6,7,7
10,8,,8,8,8,,6,7,6,,8,8,8,,6,5,7,,7,8,8
