Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,8,,7,7,6,,7,8,7,,7,8,7,,7,8,7,,7,7,6
2,5,,5,4,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5
3,14,,11,12,13,,10,11,9,,10,11,12,,10,11,9,,11,12,13
4,11,,10,4,9,,11,5,10,,10,6,10,,11,6,11,,11,5,10
5,11,,3,6,4,,2,7,9,,2,8,10,,3,8,10,,3,7,9
6,5,,5,5,5,,5,5,5,,5,5,4,,5,5,4,,5,5,4
7,6,,5,6,4,,5,6,5,,5,6,5,,5,6,5,,4,5,5
8,6,,5,3,4,,5,2,4,,5,3,4,,5,3,4,,5,3,4
9,15,,13,14,15,,13,14,15,,13,15,13,,13,14,12,,14,14,14
10,7,,4,5,6,,4,5,6,,4,5,6,,4,5,6,,4,5,6
