Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5,,5,4,5
2,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4,,4,4,4
3,9,,9,9,7,,9,6,8,,9,5,7,,9,7,6,,8,6,8
4,20,,20,20,20,,16,16,16,,20,19,20,,19,16,15,,20,16,16
5,7,,7,6,7,,7,7,7,,7,7,7,,7,7,7,,7,6,6
6,17,,13,13,13,,17,11,11,,12,14,10,,12,11,13,,16,13,11
7,8,,8,8,8,,8,8,8,,8,8,8,,8,8,8,,8,8,8
8,9,,8,6,7,,9,7,8,,9,9,9,,9,9,9,,9,8,9
9,17,,15,15,15,,17,17,17,,17,17,17,,17,17,17,,17,17,17
10,16,,12,10,8,,14,13,13,,16,8,8,,10,9,9,,14,3,3
