Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,8,,7,8,6,,7,6,8,,8,8,8,,8,8,7,,7,8,6
2,5,,5,5,5,,5,4,5,,5,5,5,,5,5,5,,5,4,5
3,14,,13,14,13,,13,13,10,,10,12,14,,10,13,12,,12,13,11
4,11,,11,7,9,,10,4,11,,10,2,11,,10,2,11,,9,3,11
5,11,,3,8,6,,1,4,11,,5,8,11,,0,3,10,,0,5,11
6,5,,3,5,5,,1,3,5,,3,5,5,,3,3,5,,3,3,5
7,6,,6,5,6,,5,4,6,,5,6,6,,6,5,5,,6,4,6
8,6,,6,2,4,,6,2,4,,6,2,4,,6,3,5,,6,1,5
9,15,,15,14,14,,13,13,15,,14,15,14,,15,14,15,,13,14,15
10,7,,5,6,7,,1,2,7,,3,7,5,,4,5,5,,2,4,7
