Question,Total Marks,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:,,Solution 1:,Solution 2:,Solution 3:
1,8,,8,7,7,,8,7,8,,8,7,8,,8,7,7,,8,7,7
2,5,,4,3,5,,5,4,5,,5,4,5,,5,4,5,,5,4,5
3,14,,13,14,12,,13,14,12,,12,13,14,,12,13,14,,12,13,14
4,11,,10,5,10,,10,7,10,,10,6,10,,10,6,10,,11,6,10
5,11,,8,9,11,,8,8,11,,9,8,11,,9,8,11,,8,9,11
6,5,,4,5,5,,5,5,5,,5,5,5,,5,5,5,,5,5,5
7,6,,6,5,5,,6,5,5,,6,5,5,,6,5,5,,6,5,5
8,6,,5,3,6,,6,3,5,,6,3,5,,5,3,6,,6,3,5
9,15,,13,14,15,,15,15,14,,13,14,15,,15,15,13,,13,15,14
10,7,,4,5,6,,4,5,6,,4,5,6,,4,5,6,,4,5,6
